"CubeId";"snboffzisa"
"PublishingDate";"2026-02-23 09:00"

"Date";"D0";"Value"
"2018-09";"LZ";
"2018-09";"UG0";"-1.25"
"2018-09";"OG0";"-0.25"
"2018-10";"LZ";
"2018-10";"UG0";"-1.25"
"2018-10";"OG0";"-0.25"
"2018-11";"LZ";
"2018-11";"UG0";"-1.25"
"2018-11";"OG0";"-0.25"
"2018-12";"LZ";
"2018-12";"UG0";"-1.25"
"2018-12";"OG0";"-0.25"
"2019-01";"LZ";
"2019-01";"UG0";"-1.25"
"2019-01";"OG0";"-0.25"
"2019-02";"LZ";
"2019-02";"UG0";"-1.25"
"2019-02";"OG0";"-0.25"
"2019-03";"LZ";
"2019-03";"UG0";"-1.25"
"2019-03";"OG0";"-0.25"
"2019-04";"LZ";
"2019-04";"UG0";"-1.25"
"2019-04";"OG0";"-0.25"
"2019-05";"LZ";
"2019-05";"UG0";"-1.25"
"2019-05";"OG0";"-0.25"
"2019-06";"LZ";"-0.75"
"2019-06";"UG0";
"2019-06";"OG0";
"2019-07";"LZ";"-0.75"
"2019-07";"UG0";
"2019-07";"OG0";
"2019-08";"LZ";"-0.75"
"2019-08";"UG0";
"2019-08";"OG0";
"2019-09";"LZ";"-0.75"
"2019-09";"UG0";
"2019-09";"OG0";
"2019-10";"LZ";"-0.75"
"2019-10";"UG0";
"2019-10";"OG0";
"2019-11";"LZ";"-0.75"
"2019-11";"UG0";
"2019-11";"OG0";
"2019-12";"LZ";"-0.75"
"2019-12";"UG0";
"2019-12";"OG0";
"2020-01";"LZ";"-0.75"
"2020-01";"UG0";
"2020-01";"OG0";
"2020-02";"LZ";"-0.75"
"2020-02";"UG0";
"2020-02";"OG0";
"2020-03";"LZ";"-0.75"
"2020-03";"UG0";
"2020-03";"OG0";
"2020-04";"LZ";"-0.75"
"2020-04";"UG0";
"2020-04";"OG0";
"2020-05";"LZ";"-0.75"
"2020-05";"UG0";
"2020-05";"OG0";
"2020-06";"LZ";"-0.75"
"2020-06";"UG0";
"2020-06";"OG0";
"2020-07";"LZ";"-0.75"
"2020-07";"UG0";
"2020-07";"OG0";
