"Année","Canton","Nationalité (catégorie)","Sexe","Âge","Immigration, y compris les changements de type de population"
"1993","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2762
"1993","Schaffhausen","Étranger","Sexe - total","Âge - total",994
"1993","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",700
"1993","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",189
"1993","St. Gallen","Étranger","Sexe - total","Âge - total",6996
"1993","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",3667
"1993","Aargau","Étranger","Sexe - total","Âge - total",7281
"1993","Thurgau","Étranger","Sexe - total","Âge - total",3939
"1993","Ticino","Étranger","Sexe - total","Âge - total",5483
"1993","Vaud","Étranger","Sexe - total","Âge - total",14187
"1993","Valais / Wallis","Étranger","Sexe - total","Âge - total",6420
"1993","Neuchâtel","Étranger","Sexe - total","Âge - total",2696
"1993","Genève","Étranger","Sexe - total","Âge - total",14045
"1993","Jura","Étranger","Sexe - total","Âge - total",771
"1993","Sans indication","Étranger","Sexe - total","Âge - total",0
"1994","Suisse","Étranger","Sexe - total","Âge - total",107650
"1994","Zürich","Étranger","Sexe - total","Âge - total",17913
"1994","Bern / Berne","Étranger","Sexe - total","Âge - total",8586
"1994","Luzern","Étranger","Sexe - total","Âge - total",4173
"1994","Uri","Étranger","Sexe - total","Âge - total",307
"1994","Schwyz","Étranger","Sexe - total","Âge - total",1827
"1994","Obwalden","Étranger","Sexe - total","Âge - total",418
"1994","Nidwalden","Étranger","Sexe - total","Âge - total",500
"1994","Glarus","Étranger","Sexe - total","Âge - total",498
"1994","Zug","Étranger","Sexe - total","Âge - total",1385
"1994","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",3171
"1994","Solothurn","Étranger","Sexe - total","Âge - total",2418
"1994","Basel-Stadt","Étranger","Sexe - total","Âge - total",3895
"1994","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2228
"1994","Schaffhausen","Étranger","Sexe - total","Âge - total",833
"1994","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",522
"1994","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",141
"1994","St. Gallen","Étranger","Sexe - total","Âge - total",6433
"1994","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",3516
"1994","Aargau","Étranger","Sexe - total","Âge - total",5461
"1994","Thurgau","Étranger","Sexe - total","Âge - total",2836
"1994","Ticino","Étranger","Sexe - total","Âge - total",5434
"1994","Vaud","Étranger","Sexe - total","Âge - total",14329
"1994","Valais / Wallis","Étranger","Sexe - total","Âge - total",4884
"1994","Neuchâtel","Étranger","Sexe - total","Âge - total",2184
"1994","Genève","Étranger","Sexe - total","Âge - total",13044
"1994","Jura","Étranger","Sexe - total","Âge - total",714
"1994","Sans indication","Étranger","Sexe - total","Âge - total",0
"1995","Suisse","Étranger","Sexe - total","Âge - total",90957
"1995","Zürich","Étranger","Sexe - total","Âge - total",15767
